score	relative	size	hits	path	snippet
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\01_OBJECTIVES\OBJECTIVES_INDEX.md	459	control=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\01_OBJECTIVES\OBJECTIVES_INDEX.md	s:    - engremiat/simulation    - engremiat/lab  ---  #   OBJECTIVES_INDEX    ## Funcion  Objetivos simulados del laboratorio.    ## Relacion  - [[../PROJECT_HOME]]  - [[../00_LAB_CONTROL/SIMULATION_CYCLE]]    ## Modelo de objeto  - [[OBJECTIVE_MODEL]]    ## Objetivo escenario 001  - [[OBJ_001_VISUAL_TASK_MANAGEMENT_MODULE]]    ## Inicio de proyecto simulado  - [[SIM_PROJECT_20260619-144124_INTAKE]]
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\08_RESULTS\SCENARIO_001_visual_task_management_module\RESULT_001_SCENARIO_STATUS.md	384	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\08_RESULTS\SCENARIO_001_visual_task_management_module\RESULT_001_SCENARIO_STATUS.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\09_LEARNING\LEARNING_001_SCENARIO_SETUP.md	376	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\09_LEARNING\LEARNING_001_SCENARIO_SETUP.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\08_RESULTS\SIM_PROJECT_20260619-144124\RESULT_PROJECT_START_SIMULATION.md	802	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\08_RESULTS\SIM_PROJECT_20260619-144124\RESULT_PROJECT_START_SIMULATION.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\08_RESULTS\SCENARIO_001_visual_task_management_module\RESULT_002_WORKER_SIMULATION_OUTPUT.md	635	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\08_RESULTS\SCENARIO_001_visual_task_management_module\RESULT_002_WORKER_SIMULATION_OUTPUT.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_ROADMAPS\ROADMAP_001_VISUAL_TASK_MANAGEMENT_MODULE.md	830	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_ROADMAPS\ROADMAP_001_VISUAL_TASK_MANAGEMENT_MODULE.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\EV_003_VALIDATION_REPORT.md	544	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\EV_003_VALIDATION_REPORT.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\EV_002_STRUCTURE_CANVAS.md	552	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\EV_002_STRUCTURE_CANVAS.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_ROADMAPS\SIM_PROJECT_20260619-144124_ROADMAP_PROPOSAL.md	1013	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_ROADMAPS\SIM_PROJECT_20260619-144124_ROADMAP_PROPOSAL.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\SIM_PROJECT_20260619-144124\EV_VALIDATION.md	596	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\SIM_PROJECT_20260619-144124\EV_VALIDATION.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\SIM_PROJECT_20260619-144124\EV_STRUCTURE.md	613	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\SIM_PROJECT_20260619-144124\EV_STRUCTURE.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\SIM_PROJECT_20260619-144124\EV_SCOPE.md	616	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\SIM_PROJECT_20260619-144124\EV_SCOPE.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\SIM_PROJECT_20260619-152304_prueba1_PROJECT_START.canvas	1691	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\SIM_PROJECT_20260619-152304_prueba1_PROJECT_START.canvas	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\SIM_PROJECT_20260619-144124_WORKER_RESULT_CANVAS.canvas	5095	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\SIM_PROJECT_20260619-144124_WORKER_RESULT_CANVAS.canvas	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\SIM_PROJECT_20260619-144124_PROJECT_START_CANVAS.canvas	3793	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\SIM_PROJECT_20260619-144124_PROJECT_START_CANVAS.canvas	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\.obsidian\graph.json	1946	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\.obsidian\graph.json	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\01_OBJECTIVES\SIM_PROJECT_20260619-144124_INTAKE.md	623	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\01_OBJECTIVES\SIM_PROJECT_20260619-144124_INTAKE.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\WORKER_SIMULATION_RESULT_CANVAS.canvas	6393	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\WORKER_SIMULATION_RESULT_CANVAS.canvas	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\01_OBJECTIVES\SIM_PROJECT_20260619-152304_prueba1_OBJECTIVE.md	908	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\01_OBJECTIVES\SIM_PROJECT_20260619-152304_prueba1_OBJECTIVE.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\01_OBJECTIVES\SIM_PROJECT_20260619-153101_prueba2_OBJECTIVE.md	370	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\01_OBJECTIVES\SIM_PROJECT_20260619-153101_prueba2_OBJECTIVE.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\01_ROADMAP\ROADMAP_INDEX.md	197	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\01_ROADMAP\ROADMAP_INDEX.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_MODULES\PROJECT_MODULES_INDEX.md	329	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_MODULES\PROJECT_MODULES_INDEX.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\SIMULATION_LAB_CANVAS.canvas	5739	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\SIMULATION_LAB_CANVAS.canvas	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\SCENARIO_001_CANVAS.canvas	5646	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\SCENARIO_001_CANVAS.canvas	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\01_OBJECTIVES\SIM_PROJECT_20260619-153021_prueba2_OBJECTIVE.md	341	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\01_OBJECTIVES\SIM_PROJECT_20260619-153021_prueba2_OBJECTIVE.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\SIM_PROJECT_20260619-144124_TASK_001_DEFINE_SCOPE.md	643	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\SIM_PROJECT_20260619-144124_TASK_001_DEFINE_SCOPE.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\SIM_WORKER_VALIDATOR.md	453	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\SIM_WORKER_VALIDATOR.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\SIM_WORKER_PLANNER.md	440	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\SIM_WORKER_PLANNER.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\RUNS\RUN_002_SIM_WORKER_OBSIDIAN_BUILDER.md	687	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\RUNS\RUN_002_SIM_WORKER_OBSIDIAN_BUILDER.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\RUNS\SIM_PROJECT_20260619-144124\RUN_002_SIM_WORKER_OBSIDIAN_BUILDER.md	609	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\RUNS\SIM_PROJECT_20260619-144124\RUN_002_SIM_WORKER_OBSIDIAN_BUILDER.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\RUNS\SIM_PROJECT_20260619-144124\RUN_001_SIM_WORKER_PLANNER.md	602	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\RUNS\SIM_PROJECT_20260619-144124\RUN_001_SIM_WORKER_PLANNER.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\RUNS\RUN_003_SIM_WORKER_VALIDATOR.md	665	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\RUNS\RUN_003_SIM_WORKER_VALIDATOR.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\SIM_WORKER_OBSIDIAN_BUILDER.md	502	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\SIM_WORKER_OBSIDIAN_BUILDER.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\TASK_001_DEFINE_MODULE_SCOPE.md	588	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\TASK_001_DEFINE_MODULE_SCOPE.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\TASK_002_CREATE_VISUAL_STRUCTURE.md	627	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\TASK_002_CREATE_VISUAL_STRUCTURE.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\TASK_003_VALIDATE_EVIDENCE.md	608	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\TASK_003_VALIDATE_EVIDENCE.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\SIM_PROJECT_20260619-152304_prueba1\T03_Preparar_worker_smoke_futuro.md	263	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\SIM_PROJECT_20260619-152304_prueba1\T03_Preparar_worker_smoke_futuro.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\SIM_PROJECT_20260619-144124_TASK_002_PREPARE_STRUCTURE.md	639	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\SIM_PROJECT_20260619-144124_TASK_002_PREPARE_STRUCTURE.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\SIM_PROJECT_20260619-144124_TASK_003_VALIDATE_FIRST_EVIDENCE.md	688	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\SIM_PROJECT_20260619-144124_TASK_003_VALIDATE_FIRST_EVIDENCE.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_EVIDENCE\PROJECT_EVIDENCE_INDEX.md	219	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_EVIDENCE\PROJECT_EVIDENCE_INDEX.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\06_REPORTS\PROJECT_REPORTS_INDEX.md	235	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\06_REPORTS\PROJECT_REPORTS_INDEX.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\SIM_PROJECT_20260619-152304_prueba1_GATE_REVIEW_PROJECT_START.md	567	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\SIM_PROJECT_20260619-152304_prueba1_GATE_REVIEW_PROJECT_START.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\SIM_PROJECT_20260619-144124_GATE_VALIDATE_RESULT.md	506	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\SIM_PROJECT_20260619-144124_GATE_VALIDATE_RESULT.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_ROADMAPS\SIM_PROJECT_20260619-152304_prueba1_ROADMAP.md	282	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_ROADMAPS\SIM_PROJECT_20260619-152304_prueba1_ROADMAP.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\SIM_PROJECT_20260619-153021_prueba2_GATE_REVIEW_PROJECT_START.md	258	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\SIM_PROJECT_20260619-153021_prueba2_GATE_REVIEW_PROJECT_START.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\SIM_PROJECT_20260619-153101_prueba2_GATE_REVIEW_PROJECT_START.md	258	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\SIM_PROJECT_20260619-153101_prueba2_GATE_REVIEW_PROJECT_START.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_ROADMAPS\SIM_PROJECT_20260619-153101_prueba2_ROADMAP.md	222	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_ROADMAPS\SIM_PROJECT_20260619-153101_prueba2_ROADMAP.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_CANVAS\PROJECT_CANVAS.canvas	2954	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_CANVAS\PROJECT_CANVAS.canvas	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\RUNS\SIM_PROJECT_20260619-144124\RUN_003_SIM_WORKER_VALIDATOR.md	590	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\RUNS\SIM_PROJECT_20260619-144124\RUN_003_SIM_WORKER_VALIDATOR.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_ROADMAPS\SIM_PROJECT_20260619-153021_prueba2_ROADMAP.md	222	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_ROADMAPS\SIM_PROJECT_20260619-153021_prueba2_ROADMAP.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\GATE_001_APPROVE_ROADMAP.md	790	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\GATE_001_APPROVE_ROADMAP.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\SIM_PROJECT_20260619-144124_GATE_APPROVE_ROADMAP.md	546	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\SIM_PROJECT_20260619-144124_GATE_APPROVE_ROADMAP.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_DECISIONS\PROJECT_DECISIONS_INDEX.md	221	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_DECISIONS\PROJECT_DECISIONS_INDEX.md	
6	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\GATE_002_ACCEPT_SIMULATED_RESULT.md	634	path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\GATE_002_ACCEPT_SIMULATED_RESULT.md	
5	MODULOS\MODULE_inicio\BOVEDA_MODULO\00_CONTROL\module.json	837	path_control=5	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_inicio\BOVEDA_MODULO\00_CONTROL\module.json	
5	MODULOS\.obsidian\workspace.json	9668	control=3;vista=2	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\.obsidian\workspace.json	": false,       "bases:Crear nueva base": false     }   },   "active": "e899993789a1d45b",   "lastOpenFiles": [     "MODULE_inicio/BOVEDA_MODULO/00_PLANTILLA_MAESTRA_REFERENCIA/00_CONTROL/module.json",     "MODULE_inicio/BOVEDA_MODULO/00_PLANTILLA_MAESTRA_REFERENCIA/00_CONTROL/module.template.json",     "MODULE_inicio/BOVEDA_MODULO/00_PLANTILLA_MAESTRA_REFERENCIA/00_CONTROL",     "MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial/BOVEDA_MODULO/10_TRABAJO_MEJORA_PLANTILLAS/90_GATES/GATE_E05_APLICADO.md",     "MODULE_inicio/BOVEDA_MODULO/00_PLANTILLA_MAESTRA_REFERENCIA/10_CANVAS/CANVAS.
5	BOVEDA_PROYECTO\00_CONTROL\project.json	871	path_control=5	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_CONTROL\project.json	
5	BOVEDA_PROYECTO\00_CONTROL\template-source.json	1085	path_control=5	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_CONTROL\template-source.json	
4	BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\99_ARCHIVO_ORIGEN\ROADMAP_MODEL_ORIGINAL.md	398	control=1;bloques=1;path_plantilla=2	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\99_ARCHIVO_ORIGEN\ROADMAP_MODEL_ORIGINAL.md	, bloques y pasos propuestos por el sistema.    ## Campos requeridos  - id  - objective_id  - steps  - status  - approval_gate    ## Relacion  - [[../PROJECT_HOME]]  - [[../00_LAB_CONTROL/SIMULATION_CYCLE]]
